弊害	へいがい	害になること。他に悪い影響を与える物事	null
隔たり	へだたり	へだたること。また、その度合い。「十年のー」間隔。距離。差。	distance; difference
変化	へんか	変わり	change
塀	へい		wall, fence
閉会	へいかい		closure
兵器	へいき		arms, weapons, ordinance
平気	へいき		coolness, calmness, composure, unconcern
平均2	へいきん		equilibrium, balance, average, mean
閉口	へいこう		shut mouth
平行	へいこう		(going) side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism
並行	へいこう		(going) side by side, concurrent, abreast, at the same time, occurring together, parallel, parallelism
閉鎖	へいさ		closing, closure, shutdown, lockout, unsociable
兵士	へいし		soldier
平日	へいじつ		weekday, ordinary days
平常	へいじょう		normal, usual
兵隊	へいたい		soldier, sailor
平方	へいほう		square (e.g. metre), square
平凡	へいぼん		common, commonplace, ordinary, mediocre
平野	へいや		plain, open field
並列	へいれつ		arrangement, parallel, abreast
平和	へいわ		peace, harmony
辟易	へきえき		wince, shrink back, succumbing to, being frightened, disconcerted
凹む	へこむ		be dented, be indented, yield to, to give, sink, collapse, cave in, be snubbed
下手	へた		unskillful, poor, awkward
隔たる	へだたる		to be distant
隔てる	へだてる		be shut out, separate, isolate
部屋	へや		room
減らす	へらす		abate, decrease, diminish, shorten
謙る	へりくだる		to deprecate oneself and praise the listener
減る	へる		decrease (in size or number), diminish, abate
経る	へる		to pass, to elapse, to experience
辺	へん		side, part, area, vicinity
変	へん		strange
偏	へん		side, left radical of a character, inclining, inclining toward, biased
編	へん		compilation, editing, completed poem, book, part of book
変革	へんかく		change, reform, revolution, upheaval, (the) Reformation
返還	へんかん		return, restoration
偏見	へんけん		prejudice, narrow view
変更	へんこう		change, modification, alteration
返済	へんさい		repayment
返事	へんじ		reply, answer
編集	へんしゅう		editing, compilation, editorial (e.g. committee)
変遷	へんせん		change, transition, vicissitudes
返答	へんとう		reply
変動	へんどう		change, fluctuation
